family,B,seed,best_error
symmetric_tree,25,101,0.04218065529584904
symmetric_tree,25,102,0.043398472777180105
symmetric_tree,25,103,0.04861887388561114
symmetric_tree,25,104,0.044680948028598344
symmetric_tree,25,105,0.04421181082030082
symmetric_tree,50,101,0.04164282078905373
symmetric_tree,50,102,0.040970719021475414
symmetric_tree,50,103,0.042554572381696874
symmetric_tree,50,104,0.04558542492595437
symmetric_tree,50,105,0.04245332118456333
symmetric_tree,100,101,0.040970719021475414
symmetric_tree,100,102,0.044540675872230005
symmetric_tree,100,103,0.04161446568765385
symmetric_tree,100,104,0.0432983200400759
symmetric_tree,100,105,0.0438840512656894
murray_tree,25,101,0.05045883023507532
murray_tree,25,102,0.052187005062473424
murray_tree,25,103,0.052197122712486096
murray_tree,25,104,0.05152297780409902
murray_tree,25,105,0.04833485522513895
murray_tree,50,101,0.050180612072822095
murray_tree,50,102,0.049105140023812985
murray_tree,50,103,0.05193275008533334
murray_tree,50,104,0.050969344496267444
murray_tree,50,105,0.05057217757621574
murray_tree,100,101,0.04915220881536784
murray_tree,100,102,0.05186227613769291
murray_tree,100,103,0.049342703190160674
murray_tree,100,104,0.050962664671221805
murray_tree,100,105,0.04991125020161779
looped_hierarchical,25,101,0.05512503256823008
looped_hierarchical,25,102,0.052395025037061546
looped_hierarchical,25,103,0.05176161243384962
looped_hierarchical,25,104,0.053345388703094555
looped_hierarchical,25,105,0.05291312444502697
looped_hierarchical,50,101,0.05100338288626436
looped_hierarchical,50,102,0.05163715280101412
looped_hierarchical,50,103,0.05291312444502697
looped_hierarchical,50,104,0.049945180518559534
looped_hierarchical,50,105,0.049945180518559534
looped_hierarchical,100,101,0.05027513998229943
looped_hierarchical,100,102,0.04929403972976555
looped_hierarchical,100,103,0.04878981978387202
looped_hierarchical,100,104,0.04968672726942626
looped_hierarchical,100,105,0.051452692513449264
grid_lattice,25,101,0.056995381866564165
grid_lattice,25,102,0.059686062896477696
grid_lattice,25,103,0.055381168430219986
grid_lattice,25,104,0.05811372454261737
grid_lattice,25,105,0.061219595588457354
grid_lattice,50,101,0.059600191356574315
grid_lattice,50,102,0.05691115849184829
grid_lattice,50,103,0.055381168430219986
grid_lattice,50,104,0.056644561832016195
grid_lattice,50,105,0.0566300705261805
grid_lattice,100,101,0.05633017053083639
grid_lattice,100,102,0.05769393417937113
grid_lattice,100,103,0.055381168430219986
grid_lattice,100,104,0.05591871303781569
grid_lattice,100,105,0.0562968922553432
