family,pid,tercile,delta_p,n_batches
symmetric_tree,0,0,0.0,5
symmetric_tree,1,0,8.673617379884035e-19,5
symmetric_tree,2,0,0.0,5
symmetric_tree,3,0,0.0,5
symmetric_tree,4,0,8.673617379884035e-19,5
symmetric_tree,5,0,0.0,5
symmetric_tree,6,0,0.0,5
symmetric_tree,7,0,1.3877787807814457e-17,5
symmetric_tree,8,0,0.0,5
symmetric_tree,9,0,0.0,5
symmetric_tree,10,0,2.168404344971009e-19,5
symmetric_tree,11,0,0.0,5
symmetric_tree,12,0,0.0,5
symmetric_tree,13,0,1.0842021724855044e-19,5
symmetric_tree,14,0,0.0,5
symmetric_tree,15,0,2.42861286636753e-17,5
symmetric_tree,16,0,0.0,5
symmetric_tree,17,0,0.0,5
symmetric_tree,18,0,1.0408340855860843e-17,5
symmetric_tree,19,0,5.421010862427522e-20,5
symmetric_tree,20,1,0.0,5
symmetric_tree,21,1,1.214306433183765e-17,5
symmetric_tree,22,1,1.734723475976807e-18,5
symmetric_tree,23,1,1.3877787807814457e-17,5
symmetric_tree,24,1,6.938893903907228e-18,5
symmetric_tree,25,1,0.0,5
symmetric_tree,26,1,0.0,5
symmetric_tree,27,1,6.938893903907228e-18,5
symmetric_tree,28,1,0.0,5
symmetric_tree,29,1,6.938893903907228e-18,5
symmetric_tree,30,1,2.0816681711721685e-17,5
symmetric_tree,31,1,6.938893903907228e-18,5
symmetric_tree,32,1,0.0,5
symmetric_tree,33,1,1.3877787807814457e-17,5
symmetric_tree,34,1,0.0,5
symmetric_tree,35,1,6.938893903907228e-18,5
symmetric_tree,36,1,1.3877787807814457e-17,5
symmetric_tree,37,1,6.938893903907228e-18,5
symmetric_tree,38,1,0.0,5
symmetric_tree,39,1,6.938893903907228e-18,5
symmetric_tree,40,2,0.0,5
symmetric_tree,41,2,6.938893903907228e-18,5
symmetric_tree,42,2,6.938893903907228e-18,5
symmetric_tree,43,2,0.0,5
symmetric_tree,44,2,0.0,5
symmetric_tree,45,2,0.0,5
symmetric_tree,46,2,0.0,5
symmetric_tree,47,2,1.0408340855860843e-17,5
symmetric_tree,48,2,0.0,5
symmetric_tree,49,2,0.0,5
symmetric_tree,50,2,0.0,5
symmetric_tree,51,2,0.0,5
symmetric_tree,52,2,0.0,5
symmetric_tree,53,2,1.3877787807814457e-17,5
symmetric_tree,54,2,0.0,5
symmetric_tree,55,2,0.0,5
symmetric_tree,56,2,0.0,5
symmetric_tree,57,2,0.0,5
symmetric_tree,58,2,0.0,5
symmetric_tree,59,2,0.0,5
murray_tree,0,0,0.0,5
murray_tree,1,0,8.673617379884035e-19,5
murray_tree,2,0,0.0,5
murray_tree,3,0,0.0,5
murray_tree,4,0,1.0408340855860843e-17,5
murray_tree,5,0,2.6020852139652106e-18,5
murray_tree,6,0,6.938893903907228e-18,5
murray_tree,7,0,1.734723475976807e-17,5
murray_tree,8,0,8.673617379884035e-19,5
murray_tree,9,0,0.0,5
murray_tree,10,0,0.0,5
murray_tree,11,0,1.0842021724855044e-19,5
murray_tree,12,0,0.0,5
murray_tree,13,0,6.505213034913027e-19,5
murray_tree,14,0,0.0,5
murray_tree,15,0,2.0816681711721685e-17,5
murray_tree,16,0,0.0,5
murray_tree,17,0,8.673617379884035e-19,5
murray_tree,18,0,3.469446951953614e-18,5
murray_tree,19,0,0.0,5
murray_tree,20,1,0.0,5
murray_tree,21,1,3.469446951953614e-18,5
murray_tree,22,1,3.469446951953614e-18,5
murray_tree,23,1,0.0,5
murray_tree,24,1,0.0,5
murray_tree,25,1,3.469446951953614e-18,5
murray_tree,26,1,1.3877787807814457e-17,5
murray_tree,27,1,1.3877787807814457e-17,5
murray_tree,28,1,3.469446951953614e-18,5
murray_tree,29,1,0.0,5
murray_tree,30,1,2.0816681711721685e-17,5
murray_tree,31,1,6.938893903907228e-18,5
murray_tree,32,1,0.0,5
murray_tree,33,1,6.938893903907228e-18,5
murray_tree,34,1,0.0,5
murray_tree,35,1,1.3877787807814457e-17,5
murray_tree,36,1,1.3877787807814457e-17,5
murray_tree,37,1,6.938893903907228e-18,5
murray_tree,38,1,1.3877787807814457e-17,5
murray_tree,39,1,6.938893903907228e-18,5
murray_tree,40,2,0.0,5
murray_tree,41,2,0.0,5
murray_tree,42,2,0.0,5
murray_tree,43,2,0.0,5
murray_tree,44,2,0.0,5
murray_tree,45,2,0.0,5
murray_tree,46,2,0.0,5
murray_tree,47,2,1.3877787807814457e-17,5
murray_tree,48,2,0.0,5
murray_tree,49,2,2.7755575615628914e-17,5
murray_tree,50,2,0.0,5
murray_tree,51,2,2.7755575615628914e-17,5
murray_tree,52,2,0.0,5
murray_tree,53,2,0.0,5
murray_tree,54,2,2.0816681711721685e-17,5
murray_tree,55,2,0.0,5
murray_tree,56,2,1.3877787807814457e-17,5
murray_tree,57,2,0.0,5
murray_tree,58,2,0.0,5
murray_tree,59,2,0.0,5
looped_hierarchical,0,0,8.673617379884035e-19,5
looped_hierarchical,1,0,0.0,5
looped_hierarchical,2,0,4.336808689942018e-19,5
looped_hierarchical,3,0,0.0,5
looped_hierarchical,4,0,8.673617379884035e-19,5
looped_hierarchical,5,0,0.0,5
looped_hierarchical,6,0,0.0,5
looped_hierarchical,7,0,1.3877787807814457e-17,5
looped_hierarchical,8,0,0.0,5
looped_hierarchical,9,0,0.0,5
looped_hierarchical,10,0,0.0,5
looped_hierarchical,11,0,1.0842021724855044e-19,5
looped_hierarchical,12,0,1.734723475976807e-18,5
looped_hierarchical,13,0,2.168404344971009e-19,5
looped_hierarchical,14,0,0.0,5
looped_hierarchical,15,0,3.469446951953614e-18,5
looped_hierarchical,16,0,8.673617379884035e-19,5
looped_hierarchical,17,0,0.0,5
looped_hierarchical,18,0,1.0408340855860843e-17,5
looped_hierarchical,19,0,1.0842021724855044e-19,5
looped_hierarchical,20,1,0.0,5
looped_hierarchical,21,1,1.5612511283791264e-17,5
looped_hierarchical,22,1,1.734723475976807e-18,5
looped_hierarchical,23,1,0.0,5
looped_hierarchical,24,1,0.0,5
looped_hierarchical,25,1,6.938893903907228e-18,5
looped_hierarchical,26,1,0.0,5
looped_hierarchical,27,1,0.0,5
looped_hierarchical,28,1,6.938893903907228e-18,5
looped_hierarchical,29,1,0.0,5
looped_hierarchical,30,1,0.0,5
looped_hierarchical,31,1,0.0,5
looped_hierarchical,32,1,0.0,5
looped_hierarchical,33,1,3.469446951953614e-18,5
looped_hierarchical,34,1,6.938893903907228e-18,5
looped_hierarchical,35,1,0.0,5
looped_hierarchical,36,1,1.3877787807814457e-17,5
looped_hierarchical,37,1,1.3877787807814457e-17,5
looped_hierarchical,38,1,1.3877787807814457e-17,5
looped_hierarchical,39,1,1.0408340855860843e-17,5
looped_hierarchical,40,2,0.0,5
looped_hierarchical,41,2,2.7755575615628914e-17,5
looped_hierarchical,42,2,0.0,5
looped_hierarchical,43,2,1.3877787807814457e-17,5
looped_hierarchical,44,2,1.3877787807814457e-17,5
looped_hierarchical,45,2,0.0,5
looped_hierarchical,46,2,0.0,5
looped_hierarchical,47,2,1.0408340855860843e-17,5
looped_hierarchical,48,2,1.3877787807814457e-17,5
looped_hierarchical,49,2,0.0,5
looped_hierarchical,50,2,0.0,5
