family,tercile,n,delta_num_q95,median,q25,q75,min,max,all_values
grid_lattice,0,20,1.076612757278106e-17,4.9873299934333204e-18,3.469446951953614e-18,8.673617379884035e-18,0.0,1.3444106938820255e-17,0.000000e+00;0.000000e+00;4.336809e-19;3.469447e-18;3.469447e-18;3.469447e-18;3.469447e-18;4.336809e-18;4.594307e-18;4.770490e-18;5.204170e-18;6.505213e-18;6.938894e-18;7.372575e-18;8.673617e-18;8.673617e-18;1.040834e-17;1.040834e-17;1.062518e-17;1.344411e-17
grid_lattice,1,20,1.0581813203458526e-17,0.0,0.0,6.938893903907228e-18,0.0,1.3877787807814457e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;3.469447e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;1.040834e-17;1.040834e-17;1.387779e-17
grid_lattice,2,20,1.457167719820519e-17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.387779e-17;1.387779e-17;2.775558e-17
looped_hierarchical,0,20,1.0581813203458526e-17,1.0842021724855044e-19,0.0,8.673617379884035e-19,0.0,1.3877787807814457e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.084202e-19;1.084202e-19;2.168404e-19;4.336809e-19;8.673617e-19;8.673617e-19;8.673617e-19;1.734723e-18;3.469447e-18;1.040834e-17;1.387779e-17
looped_hierarchical,1,20,1.3964523981613298e-17,8.673617379884035e-19,0.0,7.806255641895632e-18,0.0,1.5612511283791264e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.734723e-18;3.469447e-18;6.938894e-18;6.938894e-18;6.938894e-18;1.040834e-17;1.387779e-17;1.387779e-17;1.387779e-17;1.561251e-17
looped_hierarchical,2,20,2.7755575615628914e-17,0.0,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;6.938894e-18;6.938894e-18;1.040834e-17;1.387779e-17;1.387779e-17;1.387779e-17;1.387779e-17;2.775558e-17;2.775558e-17
murray_tree,0,20,1.7520707107365754e-17,3.7947076036992655e-19,0.0,2.8189256484623115e-18,0.0,2.0816681711721685e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.084202e-19;6.505213e-19;8.673617e-19;8.673617e-19;8.673617e-19;2.602085e-18;3.469447e-18;6.938894e-18;1.040834e-17;1.734723e-17;2.081668e-17
murray_tree,1,20,1.4224732503009823e-17,5.204170427930421e-18,0.0,1.3877787807814457e-17,0.0,2.0816681711721685e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;3.469447e-18;3.469447e-18;3.469447e-18;3.469447e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;1.387779e-17;1.387779e-17;1.387779e-17;1.387779e-17;1.387779e-17;2.081668e-17
murray_tree,2,20,2.7755575615628914e-17,0.0,0.0,3.469446951953614e-18,0.0,2.7755575615628914e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.387779e-17;1.387779e-17;2.081668e-17;2.775558e-17;2.775558e-17
symmetric_tree,0,20,1.4398204850607506e-17,0.0,0.0,3.7947076036992655e-19,0.0,2.42861286636753e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;5.421011e-20;1.084202e-19;2.168404e-19;8.673617e-19;8.673617e-19;1.040834e-17;1.387779e-17;2.428613e-17
symmetric_tree,1,20,1.4224732503009823e-17,6.938893903907228e-18,0.0,8.239936510889834e-18,0.0,2.0816681711721685e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.734723e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;6.938894e-18;1.214306e-17;1.387779e-17;1.387779e-17;1.387779e-17;2.081668e-17
symmetric_tree,2,20,1.0581813203458526e-17,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;6.938894e-18;6.938894e-18;1.040834e-17;1.387779e-17
