family,variant,direction_id,rho_j,rho_k,reversal,threshold,near_boundary,escalate
symmetric_tree,1,1,0.0,0.025,0.0013233743723558792,1.4398204850607506e-17,True,True
symmetric_tree,1,1,0.025,0.05,0.0012923337820276073,1.4398204850607506e-17,True,True
symmetric_tree,1,1,0.05,0.075,0.0012458137093623086,1.4398204850607506e-17,True,True
symmetric_tree,1,1,0.075,0.1,0.0011729346120657727,1.4398204850607506e-17,False,False
symmetric_tree,1,1,0.1,0.125,0.0010537015842144986,1.4398204850607506e-17,False,False
symmetric_tree,1,1,0.125,0.15,0.0008536131809897644,1.4398204850607506e-17,False,False
symmetric_tree,1,1,0.15,0.175,0.0005288769604702478,1.4398204850607506e-17,False,False
symmetric_tree,1,1,0.175,0.2,7.637925870863666e-05,1.4398204850607506e-17,False,False
symmetric_tree,1,2,0.0,0.025,0.0002896308046331196,1.4398204850607506e-17,True,True
symmetric_tree,1,2,0.025,0.05,0.00018223504377097924,1.4398204850607506e-17,True,True
symmetric_tree,1,2,0.05,0.075,6.95495824264581e-05,1.4398204850607506e-17,True,False
symmetric_tree,1,3,0.0,0.025,0.002558419806367729,1.4398204850607506e-17,True,True
symmetric_tree,1,3,0.025,0.05,0.002219847699572338,1.4398204850607506e-17,True,True
symmetric_tree,1,3,0.05,0.075,0.0014477499743913236,1.4398204850607506e-17,False,False
symmetric_tree,1,3,0.075,0.1,1.4566116436239701e-05,1.4398204850607506e-17,False,False
symmetric_tree,1,12,0.0,0.025,0.0002877745529712254,1.4398204850607506e-17,True,True
symmetric_tree,1,12,0.025,0.05,0.00028777224931291964,1.4398204850607506e-17,True,True
symmetric_tree,1,12,0.05,0.075,0.00028776976117273617,1.4398204850607506e-17,True,True
symmetric_tree,1,12,0.075,0.1,0.0002825628653233426,1.4398204850607506e-17,True,True
symmetric_tree,1,18,0.0,0.025,0.00014844350347834392,1.4398204850607506e-17,True,True
symmetric_tree,1,18,0.025,0.05,0.00014444959754241274,1.4398204850607506e-17,True,True
symmetric_tree,1,18,0.05,0.075,0.00014030130383734657,1.4398204850607506e-17,True,True
symmetric_tree,1,18,0.075,0.1,0.00013599534680219967,1.4398204850607506e-17,True,True
symmetric_tree,1,18,0.1,0.125,0.00013152885016188068,1.4398204850607506e-17,True,True
symmetric_tree,1,19,0.0,0.025,0.00017808671508844076,1.4398204850607506e-17,True,True
symmetric_tree,1,19,0.025,0.05,0.00010870650354574685,1.4398204850607506e-17,True,True
symmetric_tree,1,19,0.05,0.075,3.7327258201345914e-05,1.4398204850607506e-17,True,False
symmetric_tree,2,1,0.0,0.025,0.0006935092288394428,1.4398204850607506e-17,False,True
symmetric_tree,2,1,0.025,0.05,0.0006918954912407559,1.4398204850607506e-17,False,False
symmetric_tree,2,1,0.05,0.075,0.0006819441372561276,1.4398204850607506e-17,False,False
symmetric_tree,2,1,0.075,0.1,7.197804892384143e-05,1.4398204850607506e-17,False,False
symmetric_tree,2,2,0.0,0.025,0.000780403298105323,1.4398204850607506e-17,False,True
symmetric_tree,2,2,0.025,0.05,0.0006906988369453978,1.4398204850607506e-17,False,False
symmetric_tree,2,2,0.05,0.075,0.00027230746504952337,1.4398204850607506e-17,False,False
symmetric_tree,2,5,0.0,0.025,0.0003359871854737139,1.4398204850607506e-17,False,True
symmetric_tree,2,5,0.025,0.05,0.000267682279619852,1.4398204850607506e-17,False,False
