family,variant,direction_id,rho_j,E_j,rho_k,E_k
symmetric_tree,1,1,0.0,0.011643708312240911,0.05,0.009028000157857425
symmetric_tree,1,1,0.0,0.011643708312240911,0.075,0.007782186448495116
symmetric_tree,1,1,0.0,0.011643708312240911,0.1,0.006609251836429343
symmetric_tree,1,1,0.0,0.011643708312240911,0.125,0.005555550252214845
symmetric_tree,1,1,0.0,0.011643708312240911,0.15,0.00470193707122508
symmetric_tree,1,1,0.0,0.011643708312240911,0.175,0.0041730601107548325
symmetric_tree,1,1,0.0,0.011643708312240911,0.2,0.004096680852046196
symmetric_tree,1,1,0.0,0.011643708312240911,0.225,0.004495920614113086
symmetric_tree,1,1,0.0,0.011643708312240911,0.25,0.0052636446672081096
symmetric_tree,1,1,0.0,0.011643708312240911,0.275,0.006417946976960861
symmetric_tree,1,1,0.0,0.011643708312240911,0.3,0.008227063182000106
symmetric_tree,1,3,0.0,0.011643708312240916,0.025,0.009085288505873187
symmetric_tree,1,3,0.0,0.011643708312240916,0.05,0.0068654408063008494
symmetric_tree,1,3,0.0,0.011643708312240916,0.075,0.005417690831909526
symmetric_tree,1,3,0.0,0.011643708312240916,0.1,0.005403124715473286
symmetric_tree,1,3,0.0,0.011643708312240916,0.125,0.006830916899452531
symmetric_tree,1,3,0.0,0.011643708312240916,0.15,0.009041812923245
