family,variant,R_eq,D,V,delta_P,E_baseline
grid_lattice,0,1330405401845.7231,7.516505860639627e-13,1.0995574287564274e-10,1.0,6.938893903907228e-18
grid_lattice,1,1250695334119.1667,7.995552335727503e-13,1.0995574287564281e-10,1.0,0.008542515397849074
grid_lattice,2,1427873033410.1924,7.003423810110747e-13,1.0995574287564273e-10,1.0,0.006566059255840983
looped_hierarchical,0,525666040612.0884,1.9023484926581798e-12,1.0995574287564277e-10,1.0,1.962615573354719e-17
looped_hierarchical,1,510403407264.73755,1.9592345696887506e-12,1.0995574287564274e-10,1.0,0.010998255654952068
looped_hierarchical,2,491322496959.7136,2.035323043801098e-12,1.0995574287564274e-10,1.0,0.008731370467205117
murray_tree,0,236760726276.45816,4.22367347713037e-12,1.0995574287564278e-10,1.0,1.962615573354719e-17
murray_tree,1,234512342446.44144,4.2641678880009604e-12,1.0995574287564277e-10,1.0,0.005810183368211436
murray_tree,2,228496014653.80963,4.3764439459265104e-12,1.0995574287564276e-10,1.0,0.008454079696223022
symmetric_tree,0,356507072525.8454,2.804993440705174e-12,1.0995574287564274e-10,1.0,0.0
symmetric_tree,1,379131692784.69794,2.6376059269935055e-12,1.0995574287564277e-10,1.0,0.014979731874097969
symmetric_tree,2,348496799147.5756,2.8694668141744875e-12,1.0995574287564276e-10,1.0,0.004985696125177641
