row_type,family,variant,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25
A,grid_lattice,0,1.0,1.0,1.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,grid_lattice,0,20,20,20,20,20,20,20,20,20,20,19,19,18,17,17,16,15,15,14,9,7,6,5,3,3,3
A,grid_lattice,1,1.0,1.0,0.85,0.7,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,grid_lattice,1,20,20,20,20,20,20,20,20,20,20,20,20,18,15,14,14,11,10,10,9,9,8,8,7,6,5
A,grid_lattice,2,1.0,1.0,0.95,0.65,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,grid_lattice,2,20,20,20,20,20,20,20,20,20,20,20,19,18,17,16,14,12,11,8,8,7,7,6,6,6,5
A,looped_hierarchical,0,1.0,1.0,0.9,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,looped_hierarchical,0,20,20,20,20,20,20,20,20,19,19,18,18,16,15,11,11,10,10,9,7,7,7,6,6,5,5
A,looped_hierarchical,1,1.0,0.75,0.7,0.5,0.3,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,looped_hierarchical,1,20,20,20,20,20,20,20,20,20,20,20,20,19,18,15,14,14,11,11,9,9,8,5,5,5,4
A,looped_hierarchical,2,1.0,1.0,0.55,0.35,0.2,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,looped_hierarchical,2,20,20,20,20,20,20,20,20,20,20,19,19,17,16,16,14,13,12,11,10,9,9,9,6,5,4
A,murray_tree,0,1.0,1.0,1.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,murray_tree,0,20,20,20,20,20,20,20,20,20,20,20,20,19,16,15,14,13,11,11,9,8,7,5,4,4,3
A,murray_tree,1,1.0,1.0,0.95,0.45,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,murray_tree,1,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,17,13,11,9,9,8,7,5,5,5,5
A,murray_tree,2,1.0,1.0,0.9,0.55,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,murray_tree,2,20,20,20,20,20,20,20,20,20,19,19,17,17,16,15,14,13,12,9,9,7,6,5,5,5,4
A,symmetric_tree,0,1.0,1.0,0.95,0.7,0.5,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,symmetric_tree,0,20,20,20,20,20,20,20,20,20,20,20,17,15,15,14,12,12,10,10,8,8,8,7,6,6,6
A,symmetric_tree,1,0.0,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,symmetric_tree,1,20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,16,14,14,12,10,8,7,7,7,7,6
A,symmetric_tree,2,1.0,1.0,0.9,0.8,0.55,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_valid,symmetric_tree,2,20,20,20,20,20,20,20,20,19,18,17,16,16,14,14,14,13,13,12,10,9,8,7,7,4,4
s_grid,,,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5
