pattern_family,rho,A,n
localized,0.0,0.9166666666666666,84
localized,0.025,0.9166666666666666,84
localized,0.05,0.9166666666666666,84
localized,0.075,0.7857142857142857,84
localized,0.1,0.5952380952380952,84
localized,0.125,0.40476190476190477,84
localized,0.15,0.25,84
localized,0.175,0.13095238095238096,84
localized,0.2,0.047619047619047616,84
localized,0.225,0.023809523809523808,84
localized,0.25,0.0,84
localized,0.275,0.0,84
localized,0.3,0.0,84
localized,0.325,0.0,84
localized,0.35,0.0,84
localized,0.375,0.0,84
localized,0.4,0.0,84
localized,0.425,0.0,84
localized,0.45,0.0,84
localized,0.475,0.0,84
localized,0.5,0.0,84
localized,0.525,0.0,84
localized,0.55,0.0,84
localized,0.575,0.0,84
localized,0.6,0.0,84
localized,0.625,0.0,84
localized,0.65,0.0,84
localized,0.675,0.0,84
localized,0.7,0.0,84
localized,0.725,0.0,84
localized,0.75,0.0,84
localized,0.775,0.0,84
localized,0.8,0.0,84
localized,0.825,0.0,84
localized,0.85,0.0,84
localized,0.875,0.0,84
localized,0.9,0.0,84
localized,0.925,0.0,84
localized,0.95,0.0,84
localized,0.975,0.0,84
multifocal,0.0,0.9166666666666666,72
multifocal,0.025,0.8888888888888888,72
multifocal,0.05,0.875,72
multifocal,0.075,0.875,72
multifocal,0.1,0.8333333333333334,72
multifocal,0.125,0.7222222222222222,72
multifocal,0.15,0.7083333333333334,72
multifocal,0.175,0.5833333333333334,72
multifocal,0.2,0.5416666666666666,72
multifocal,0.225,0.4861111111111111,72
multifocal,0.25,0.3888888888888889,72
multifocal,0.275,0.3055555555555556,72
multifocal,0.3,0.19444444444444445,72
multifocal,0.325,0.18055555555555555,72
multifocal,0.35,0.1527777777777778,72
multifocal,0.375,0.09722222222222222,72
multifocal,0.4,0.08333333333333333,72
multifocal,0.425,0.05555555555555555,72
multifocal,0.45,0.041666666666666664,72
multifocal,0.475,0.041666666666666664,72
multifocal,0.5,0.027777777777777776,72
multifocal,0.525,0.013888888888888888,72
multifocal,0.55,0.013888888888888888,72
multifocal,0.575,0.013888888888888888,72
multifocal,0.6,0.0,72
multifocal,0.625,0.0,72
multifocal,0.65,0.0,72
multifocal,0.675,0.0,72
multifocal,0.7,0.0,72
multifocal,0.725,0.0,72
multifocal,0.75,0.0,72
multifocal,0.775,0.0,72
multifocal,0.8,0.0,72
multifocal,0.825,0.0,72
multifocal,0.85,0.0,72
multifocal,0.875,0.0,72
multifocal,0.9,0.0,72
multifocal,0.925,0.0,72
multifocal,0.95,0.0,72
multifocal,0.975,0.0,72
regional,0.0,0.9166666666666666,84
regional,0.025,0.9166666666666666,84
regional,0.05,0.9166666666666666,84
regional,0.075,0.9047619047619048,84
regional,0.1,0.8452380952380952,84
regional,0.125,0.8333333333333334,84
regional,0.15,0.7976190476190477,84
regional,0.175,0.7142857142857143,84
regional,0.2,0.6190476190476191,84
regional,0.225,0.4880952380952381,84
regional,0.25,0.35714285714285715,84
regional,0.275,0.2619047619047619,84
regional,0.3,0.16666666666666666,84
regional,0.325,0.09523809523809523,84
regional,0.35,0.023809523809523808,84
regional,0.375,0.023809523809523808,84
regional,0.4,0.011904761904761904,84
regional,0.425,0.0,84
regional,0.45,0.0,84
regional,0.475,0.0,84
regional,0.5,0.0,84
regional,0.525,0.0,84
regional,0.55,0.0,84
regional,0.575,0.0,84
regional,0.6,0.0,84
regional,0.625,0.0,84
regional,0.65,0.0,84
regional,0.675,0.0,84
regional,0.7,0.0,84
regional,0.725,0.0,84
regional,0.75,0.0,84
regional,0.775,0.0,84
regional,0.8,0.0,84
regional,0.825,0.0,84
regional,0.85,0.0,84
regional,0.875,0.0,84
regional,0.9,0.0,84
regional,0.925,0.0,84
regional,0.95,0.0,84
regional,0.975,0.0,84
