net_id,AAC_10,AAC_20,AAC_30
lattice_000,0.0,0.0,0.0
lattice_001,0.0,0.0,0.0
lattice_002,0.0,0.0,0.0
lattice_003,0.0,0.0,0.0
lattice_004,0.0,0.0,0.0
lattice_005,0.0,0.0,0.0
lattice_006,0.0,0.0,0.0
lattice_007,0.0,0.0,0.0
lattice_008,0.0,0.0,0.0
lattice_009,0.0,0.0,0.0
lattice_010,0.0,0.0,0.0
lattice_011,0.0,0.0,0.0
lattice_012,0.0,0.0,0.0
lattice_013,0.0,0.0,0.0
lattice_014,0.0,0.0,0.0
lattice_015,0.0,0.0,0.0
lattice_016,0.0,0.0,0.0
lattice_017,0.0,0.0,0.0
lattice_018,0.0,0.0,0.0
lattice_019,0.0,0.0,0.0
lattice_020,0.0,0.0,0.0
lattice_021,0.0,0.0,0.0
lattice_022,0.0,0.0,0.0
lattice_023,0.0,0.0,0.0
lattice_024,0.0,0.0,0.0
loopy_hierarchical_000,0.0,0.0035725,0.0023816666666666665
loopy_hierarchical_001,0.0,0.0,0.0
loopy_hierarchical_002,0.0,0.0,0.0
loopy_hierarchical_003,0.0,0.0,0.0
loopy_hierarchical_004,0.0,0.0,0.0
loopy_hierarchical_005,0.0,0.0,0.0
loopy_hierarchical_006,0.0,0.0,0.0
loopy_hierarchical_007,0.0,0.0,0.0
loopy_hierarchical_008,0.0,0.0,0.0
loopy_hierarchical_009,0.0,0.0,0.0
loopy_hierarchical_010,0.0,0.0,0.0
loopy_hierarchical_011,0.0,0.0,0.0
loopy_hierarchical_012,0.0,0.0,0.0
loopy_hierarchical_013,0.0,0.0,0.0
loopy_hierarchical_014,0.0,0.0,0.0
loopy_hierarchical_015,0.0,0.0,0.0
loopy_hierarchical_016,0.0,0.0,0.0
loopy_hierarchical_017,0.0,0.0,0.0
loopy_hierarchical_018,0.0,0.0,0.0
loopy_hierarchical_019,0.0,0.0,0.0
loopy_hierarchical_020,0.0,0.0,0.0
loopy_hierarchical_021,0.0,0.0,0.0
loopy_hierarchical_022,0.0,0.0,0.0
loopy_hierarchical_023,0.0,0.0,0.0
loopy_hierarchical_024,0.0,0.0,0.0
random_spatial_000,0.0,0.0,0.0
random_spatial_001,0.0,0.0,0.0
random_spatial_002,0.0,0.0,0.0
random_spatial_003,0.0,0.0,0.0
random_spatial_004,0.0,0.0,0.0
random_spatial_005,0.0,0.0,0.0
random_spatial_006,0.0,0.0,0.0
random_spatial_007,0.0,0.0,0.0
random_spatial_008,0.0,0.0,0.0
random_spatial_009,0.0,0.0,0.0
random_spatial_010,0.0,0.0,0.0
random_spatial_011,0.0,0.0,0.0
random_spatial_012,0.0,0.0,0.0
random_spatial_013,0.0,0.0,0.0
random_spatial_014,0.0,0.0,0.0
random_spatial_015,0.0,0.0,0.0
random_spatial_016,0.0,0.0,0.0
random_spatial_017,0.0,0.0,0.0
random_spatial_018,0.0,0.0,0.0
random_spatial_019,0.00715,0.005362500000000001,0.003575
random_spatial_020,0.0,0.0,0.0
random_spatial_021,0.0,0.0,0.0
random_spatial_022,0.0,0.0,0.0
random_spatial_023,0.0,0.0,0.0
random_spatial_024,0.0,0.0,0.0
tree_000,0.0,0.0,0.0
tree_001,0.0,0.0,0.0
tree_002,0.0,0.0,0.0
tree_003,0.0,0.0,0.0
tree_004,0.0,0.0,0.0
tree_005,0.0,0.0,0.0
tree_006,0.0,0.0,0.0
tree_007,0.0,0.0,0.0
tree_008,0.0,0.0,0.0
tree_009,0.0,0.0,0.0
tree_010,0.0,0.0,0.0
tree_011,0.0,0.0,0.0
tree_012,0.0,0.0,0.0
tree_013,0.0,0.0,0.0
tree_014,0.0,0.0,0.0
tree_015,0.0,0.0,0.0
tree_016,0.0,0.0,0.0
tree_017,0.0,0.0,0.0
tree_018,0.0,0.0,0.0
tree_019,0.0,0.0,0.0
tree_020,0.0,0.0,0.0
tree_021,0.0,0.0,0.0
tree_022,0.0,0.0,0.0
tree_023,0.0,0.0,0.0
tree_024,0.0,0.0,0.0
