net_id,regime,seed,n_internal,retain_fraction,N_V,N_E,cycle_rank,connected,R_eq,E_baseline
tree_000,tree,1,10,0.0,16,15,0,True,44195477537.638054,0.12622131883280457
tree_001,tree,2,13,0.0,16,15,0,True,26077242961.79099,0.06971025560808516
tree_002,tree,3,13,0.0,16,15,0,True,31247802535.886974,0.08510457942178097
tree_003,tree,4,12,0.0,16,15,0,True,61311176736.23495,0.14362785468612208
tree_004,tree,5,12,0.0,16,15,0,True,33623075149.510654,0.08925178824911788
tree_005,tree,6,10,0.0,16,15,0,True,31805230953.12759,0.08459295004076561
tree_006,tree,7,14,0.0,16,15,0,True,29631466427.90607,0.06228924025488567
tree_007,tree,8,12,0.0,16,15,0,True,42320029077.98746,0.11762651520816886
tree_008,tree,9,9,0.0,16,15,0,True,40023280271.73928,0.12830726034281145
tree_009,tree,10,12,0.0,16,15,0,True,35594843316.9007,0.1153970093597826
tree_010,tree,11,7,0.0,16,15,0,True,45914706970.21258,0.13975093028690544
tree_011,tree,12,11,0.0,16,15,0,True,35359856848.7301,0.08784182792038717
tree_012,tree,13,14,0.0,16,15,0,True,36314346870.77005,0.10385618691527349
tree_013,tree,14,7,0.0,16,15,0,True,33277364840.604,0.08308489730757808
tree_014,tree,15,14,0.0,16,15,0,True,42401921186.16643,0.10615092109986803
tree_015,tree,16,10,0.0,16,15,0,True,55463116435.892265,0.11479982008282287
tree_016,tree,17,12,0.0,16,15,0,True,32769392295.226498,0.10700961584667087
tree_017,tree,18,14,0.0,16,15,0,True,22945859906.187954,0.06511349717787816
tree_018,tree,19,11,0.0,16,15,0,True,37045256953.696335,0.08579754173640802
tree_019,tree,20,14,0.0,16,15,0,True,32503343822.52239,0.09572112832063594
tree_020,tree,21,8,0.0,16,15,0,True,35212859521.713036,0.1054394263942833
tree_021,tree,22,12,0.0,16,15,0,True,34298985266.12114,0.10795515006270497
tree_022,tree,23,6,0.0,15,14,0,True,75194052703.43825,0.16973474764998328
tree_023,tree,24,9,0.0,16,15,0,True,29476069520.32983,0.08897557849337044
