mechanism,seed,n_internal,retain_fraction,N_V,N_E,cycle_rank,connected,volume,vol_rel_err,R_eq,E_baseline,path_redundancy,mean_degree,wl_hash
tree,1,10,0.0,16,15,0,True,1.0995574287564278e-10,3.526336160292757e-16,44195477537.638054,0.12622131883280457,1.0,1.875,e13e64f13a67d001d5c1fea7788be8f9
tree,2,13,0.0,16,15,0,True,1.0995574287564278e-10,3.526336160292757e-16,26077242961.79099,0.06971025560808516,1.0,1.875,aa58d1014c3153ca061c279ab183800b
tree,3,13,0.0,16,15,0,True,1.0995574287564276e-10,1.1754453867642524e-16,31247802535.886974,0.08510457942178097,1.0,1.875,f29723eff73a6c27d513585fff6668a8
tree,4,12,0.0,16,15,0,True,1.0995574287564272e-10,2.350890773528505e-16,61311176736.23495,0.14362785468612208,1.0,1.875,d40454a60d8c6c9b63e2e3bab89c87aa
tree,5,12,0.0,16,15,0,True,1.0995574287564276e-10,1.1754453867642524e-16,33623075149.510654,0.08925178824911788,1.0,1.875,dc1c5171f22de9ed3d66744594b09e07
tree,6,10,0.0,16,15,0,True,1.0995574287564276e-10,1.1754453867642524e-16,31805230953.12759,0.08459295004076561,1.0,1.875,d05e692c82aa4ed6413ddb273dab9f70
tree,7,14,0.0,16,15,0,True,1.0995574287564276e-10,1.1754453867642524e-16,29631466427.90607,0.06228924025488567,1.0,1.875,5d827cecd831893dc3bc1b622526b5bc
tree,8,12,0.0,16,15,0,True,1.0995574287564278e-10,3.526336160292757e-16,42320029077.98746,0.11762651520816886,1.0,1.875,fc4397cc4238b1f8d8a5b261b1207938
tree,9,9,0.0,16,15,0,True,1.0995574287564274e-10,0.0,40023280271.73928,0.12830726034281145,1.0,1.875,6593bc8cccef902cfbb96acf1633ccd5
tree,10,12,0.0,16,15,0,True,1.0995574287564278e-10,3.526336160292757e-16,35594843316.9007,0.1153970093597826,1.0,1.875,dc6fbb769fc71705bf1da865042b64de
tree,11,7,0.0,16,15,0,True,1.0995574287564277e-10,2.350890773528505e-16,45914706970.21258,0.13975093028690544,1.0,1.875,764bbd32a1678c877ac375b833dc1be2
tree,12,11,0.0,16,15,0,True,1.0995574287564276e-10,1.1754453867642524e-16,35359856848.7301,0.08784182792038717,1.0,1.875,17e50f39236b6714edea2b5631526813
tree,13,14,0.0,16,15,0,True,1.0995574287564272e-10,2.350890773528505e-16,36314346870.77005,0.10385618691527349,1.0,1.875,2c8edc82878fdb3a7dfe675debdcc452
loopy_hierarchical,100001,9,0.36322739645660407,16,23,8,True,1.0995574287564277e-10,2.350890773528505e-16,83868022718.46301,0.06131769804859959,1.5333333333333334,2.875,cf02f051c378431e39a2fe5fdd47252a
loopy_hierarchical,100002,11,0.3017722933902661,16,22,7,True,1.0995574287564276e-10,1.1754453867642524e-16,59403614466.90362,0.09568627534066607,1.4666666666666666,2.75,2187df90b89e6ac946c1beca3631e1d5
loopy_hierarchical,100003,9,0.3209919243405915,16,22,7,True,1.0995574287564277e-10,2.350890773528505e-16,63650363116.18128,0.08634096703487694,1.4666666666666666,2.75,cae676dbbaead906c6b4ce441bd100f0
loopy_hierarchical,100004,12,0.291009859461023,16,21,6,True,1.0995574287564274e-10,0.0,60991630863.5476,0.08708574502479384,1.4,2.625,6899d9c489a85de3a28c84ba6bfe3c69
loopy_hierarchical,100005,12,0.34547855821573203,16,23,8,True,1.0995574287564277e-10,2.350890773528505e-16,54835704979.91562,0.08522833499189435,1.5333333333333334,2.875,9e5d22aca2500045ed04f6583c63276d
loopy_hierarchical,100006,8,0.27848937265214313,16,21,6,True,1.0995574287564276e-10,1.1754453867642524e-16,84573264078.91486,0.07466862852036606,1.4,2.625,8bb2d83031b9bb750d7a7472eef8322c
loopy_hierarchical,100007,8,0.3790604735077633,16,23,8,True,1.0995574287564276e-10,1.1754453867642524e-16,102686448813.3535,0.07754659232878311,1.5333333333333334,2.875,2f78a82ffad6c0bf6ed16d060b140287
loopy_hierarchical,100008,14,0.25007834315023836,16,21,6,True,1.0995574287564274e-10,0.0,66393002476.39888,0.07793494632368873,1.4,2.625,6a8eef1e6f22a1791ba7de2412d8bbef
loopy_hierarchical,100009,10,0.2724911389390072,16,21,6,True,1.0995574287564277e-10,2.350890773528505e-16,55181575973.56317,0.09001793026808476,1.4,2.625,bb0cc9edd73ea5ca29c06433881be49c
loopy_hierarchical,100010,14,0.16432431425990357,16,19,4,True,1.0995574287564276e-10,1.1754453867642524e-16,55067223031.15189,0.08641614435023247,1.2666666666666666,2.375,9bab653528f5f5b5595f1276c87c96cd
loopy_hierarchical,100011,8,0.2560346325940357,16,21,6,True,1.0995574287564277e-10,2.350890773528505e-16,69226937889.65489,0.06699984434452341,1.4,2.625,10703c009b1a3b8cc0ef5e11e10e93d5
loopy_hierarchical,100012,11,0.10106025588406936,16,17,2,True,1.099557428756428e-10,4.70178154705701e-16,54433976672.722664,0.06876690036132506,1.1333333333333333,2.125,5131f21c51106f7371352a7b8e1a1846
loopy_hierarchical,100013,6,0.18090700986373,15,18,4,True,1.0995574287564273e-10,1.1754453867642524e-16,64658370296.41081,0.11116781764663733,1.2857142857142858,2.4,63e48960798acb16b7a8ad07bb9c2be3
lattice,200001,14,0.3126430743068127,21,30,10,True,1.0995574287564277e-10,2.350890773528505e-16,100971978674.2915,0.08319665986376656,1.5,2.857142857142857,437bc93aa51e7733c1f88c81fc4deb59
lattice,200002,15,0.4539608986647026,21,35,15,True,1.0995574287564273e-10,1.1754453867642524e-16,126038384222.48575,0.07033164924534259,1.75,3.3333333333333335,8b97efb18262aa43cc84bd8a0f73ff2a
lattice,200003,18,0.4975915114933138,21,36,16,True,1.0995574287564276e-10,1.1754453867642524e-16,121507474841.65999,0.08405741194776503,1.8,3.4285714285714284,aec03d88772e7b080662ace3e7195832
lattice,200004,18,0.5992354349483076,21,39,19,True,1.0995574287564274e-10,0.0,158309469180.57538,0.07541953730181244,1.95,3.7142857142857144,2880dfd388694cf2868a18687d332f15
lattice,200005,15,0.4411982647403172,21,34,14,True,1.0995574287564278e-10,3.526336160292757e-16,126290817854.32149,0.09430208724011901,1.7,3.238095238095238,3db5632eeb58b1acffa9d985691a3ea2
lattice,200006,18,0.36837123042856446,21,32,12,True,1.0995574287564274e-10,0.0,94286598501.25055,0.0631685824819469,1.6,3.0476190476190474,bb4db2ab1d51215e063be3480c2510ca
lattice,200007,14,0.5717615836193514,21,38,18,True,1.0995574287564274e-10,0.0,130014174101.80945,0.04130826520014963,1.9,3.619047619047619,6c459da288c282e1e294ed3a81d82b2c
lattice,200008,11,0.4494881691590481,14,21,8,True,1.0995574287564274e-10,0.0,69156001073.31282,0.07948064666806404,1.6153846153846154,3.0,841cc37a4b70b777289df96bfa52d677
lattice,200009,14,0.39051523214805495,21,32,12,True,1.0995574287564281e-10,5.877226933821262e-16,122436259009.90848,0.06485050673442867,1.6,3.0476190476190474,43bf03550b9f5538d8a1bd234c43ec92
lattice,200010,17,0.3358515570577582,21,31,11,True,1.0995574287564273e-10,1.1754453867642524e-16,81555184660.83238,0.052805453289365256,1.55,2.9523809523809526,0e55396680e8d5a0c8ced76a10bb6602
lattice,200011,14,0.5049384049311819,21,36,16,True,1.0995574287564274e-10,0.0,152640448711.26428,0.08214513274515585,1.8,3.4285714285714284,96bdab3934fdc77175529d4f7f21f791
lattice,200012,9,0.46231707513771203,14,21,8,True,1.0995574287564274e-10,0.0,69001372780.96138,0.08071605983847521,1.6153846153846154,3.0,7395b92bfd842c1292b3fe012caff86c
lattice,200013,19,0.4035020925019014,21,33,13,True,1.0995574287564277e-10,2.350890773528505e-16,131253127755.49245,0.10524371057555446,1.65,3.142857142857143,dff5f630cc2a9fd48dc4ce258c9caff3
random_spatial,300001,8,0.14816950499787274,17,20,4,True,1.0995574287564269e-10,4.70178154705701e-16,88107398899.40471,0.14636827109274275,1.25,2.3529411764705883,f81ced71560b23cf376e2b1ede9d930c
random_spatial,300002,11,0.33042859810004044,20,29,10,True,1.0995574287564272e-10,2.350890773528505e-16,85974092391.78372,0.0686950439919512,1.5263157894736843,2.9,8da09df591d22fce540da7b352be7764
random_spatial,300003,12,0.3667434318912928,21,32,12,True,1.0995574287564278e-10,3.526336160292757e-16,103039101792.92738,0.07380003670593249,1.6,3.0476190476190474,9d43a7ecf04ada5bd014ebe1efc3b7e1
random_spatial,300004,16,0.20142750431557188,25,32,8,True,1.0995574287564278e-10,3.526336160292757e-16,79543857952.18686,0.05234087822767815,1.3333333333333333,2.56,968d5e635698406ba51b5075c7eebd37
random_spatial,300005,13,0.39354494395829875,22,34,13,True,1.0995574287564276e-10,1.1754453867642524e-16,102006488569.43542,0.10668440658044419,1.619047619047619,3.090909090909091,a2b45ba4cb392092e7bb904e3b1b37e0
random_spatial,300006,14,0.49439172497436235,23,40,18,True,1.0995574287564269e-10,4.70178154705701e-16,133109165951.93443,0.04653719699112138,1.8181818181818181,3.4782608695652173,0932219af5643e7e19cd74cba1009800
random_spatial,300007,15,0.3466557560764554,24,36,13,True,1.0995574287564272e-10,2.350890773528505e-16,94180242225.63646,0.04670451747103371,1.565217391304348,3.0,ff7d4aadd2973640692db6e950a064b1
